date,month,day,hour,min,disk,cpu_1,cpu_2,cpu_3,cpu_4
04,08,Sun,14,27,66.6,40.8,12.2,73.5,10.2
04,08,Sun,14,57,66.6,17.0,6.1,13.8,5.2
04,08,Sun,14,59,66.6,52.3,9.9,28.9,6.5
04,08,Sun,15,29,66.6,18.8,4.9,15.0,3.9
04,08,Sun,15,59,66.6,17.2,4.0,13.5,3.3
04,08,Sun,16,29,66.7,20.7,6.1,17.6,5.2
04,08,Sun,16,59,66.8,44.3,17.8,42.5,16.0
04,08,Sun,17,29,66.7,28.2,5.4,25.2,4.4
04,08,Sun,17,59,66.7,32.5,9.2,41.2,10.1
04,08,Sun,18,29,66.7,10.4,2.8,8.1,2.1
04,08,Sun,18,59,66.7,12.8,4.4,10.4,3.4
04,08,Sun,19,29,66.7,13.2,4.7,10.9,4.0
04,08,Sun,21,13,66.7,16.8,6.5,14.7,5.5
04,08,Sun,21,43,66.7,14.8,6.0,12.9,4.7
04,08,Sun,22,13,66.7,16.6,7.0,14.8,5.6
04,08,Sun,22,43,66.7,15.7,6.7,14.2,5.3
04,08,Sun,23,13,66.7,8.2,2.1,5.8,1.5
04,08,Sun,23,43,66.7,8.6,2.0,5.7,1.4
05,08,Mon,00,13,66.7,16.4,5.5,14.3,4.2
05,08,Mon,09,38,66.7,45.5,6.3,18.7,5.0
05,08,Mon,10,08,66.7,10.2,3.4,8.9,2.5
05,08,Mon,10,38,66.7,11.6,3.1,10.5,2.1
05,08,Mon,11,08,67.0,27.1,12.9,24.0,11.9
05,08,Mon,17,01,67.0,21.3,6.3,20.5,5.8
05,08,Mon,20,41,67.0,7.9,1.8,5.4,1.3
05,08,Mon,21,11,67.0,6.7,1.7,4.3,1.1
05,08,Mon,21,41,66.7,6.3,1.6,3.8,1.1
05,08,Mon,22,11,66.7,5.3,1.2,2.9,0.7
06,08,Tue,13,15,67.0,8.7,2.9,6.3,2.3
06,08,Tue,17,20,67.0,14.8,4.6,11.7,3.7
06,08,Tue,18,06,67.0,19.2,6.0,15.7,4.9
06,08,Tue,19,25,67.0,11.0,2.7,8.4,2.1
06,08,Tue,21,50,67.0,14.0,5.0,11.0,3.9
06,08,Tue,22,20,67.0,16.4,5.6,13.7,4.5
06,08,Tue,22,50,67.0,8.0,2.4,5.9,1.7
06,08,Tue,23,54,67.2,20.2,5.0,14.7,4.0
07,08,Wed,00,24,67.2,18.5,4.8,14.2,3.6
07,08,Wed,00,54,66.9,22.9,8.0,16.4,5.9
07,08,Wed,01,24,66.9,28.6,10.7,21.5,8.0
07,08,Wed,18,06,67.5,11.5,3.7,9.0,2.9
07,08,Wed,18,36,67.2,18.0,5.9,12.8,3.9
07,08,Wed,19,06,67.2,20.5,7.2,16.7,5.6
07,08,Wed,19,36,67.3,26.4,10.1,22.5,8.8
07,08,Wed,20,06,67.9,37.5,15.5,31.9,14.0
07,08,Wed,21,31,68.0,25.8,8.8,21.1,7.6
07,08,Wed,22,01,68.0,25.8,8.8,18.1,6.3
07,08,Wed,22,31,68.0,22.4,6.9,15.7,4.8
07,08,Wed,23,01,68.0,32.4,12.4,23.3,9.0
08,08,Thu,14,03,68.1,25.2,9.7,20.5,8.0
08,08,Thu,14,33,68.1,19.0,6.2,15.4,4.8
08,08,Thu,15,03,68.0,19.3,6.3,15.5,4.6
08,08,Thu,19,28,68.4,21.3,7.5,17.9,6.3
08,08,Thu,21,16,68.1,13.8,4.8,11.1,4.1
08,08,Thu,21,46,68.3,27.2,9.3,21.3,8.1
08,08,Thu,22,16,68.4,19.0,5.6,14.5,4.6
08,08,Thu,22,46,68.4,11.3,4.0,8.2,2.7
08,08,Thu,23,16,68.4,9.0,2.3,6.2,1.6
08,08,Thu,23,46,68.4,10.2,3.1,8.3,2.4
09,08,Fri,00,16,68.3,35.5,19.0,32.3,15.8
09,08,Fri,00,46,68.5,39.4,34.3,35.5,24.7
09,08,Fri,12,30,68.8,15.1,5.0,12.1,4.2
09,08,Fri,13,50,68.8,22.4,6.5,18.7,5.4
09,08,Fri,14,20,68.8,26.8,8.4,23.2,7.0
09,08,Fri,14,50,68.8,12.9,3.7,10.8,2.8
09,08,Fri,15,20,68.9,12.9,3.0,9.2,2.4
09,08,Fri,15,50,68.9,3.2,0.8,2.1,0.5
09,08,Fri,16,20,69.1,10.1,1.9,5.7,1.3
09,08,Fri,16,50,63.5,41.6,18.0,34.9,14.4
09,08,Fri,17,20,63.5,32.8,12.2,26.6,7.7
09,08,Fri,21,52,63.5,22.5,7.5,17.6,4.4
09,08,Fri,22,22,63.5,11.8,3.2,10.8,1.6
09,08,Fri,22,52,63.5,26.2,9.1,21.0,5.6
09,08,Fri,23,22,63.5,31.6,10.5,24.4,6.3
09,08,Fri,23,52,63.5,22.0,6.9,17.7,4.6
10,08,Sat,00,22,63.5,12.0,2.6,8.2,1.8
10,08,Sat,00,52,63.5,9.6,2.1,6.7,1.4
10,08,Sat,10,12,63.2,16.2,4.6,11.8,3.6
10,08,Sat,10,42,63.2,19.1,7.2,16.0,5.8
10,08,Sat,19,39,66.9,19.9,7.7,16.4,6.3
10,08,Sat,20,09,66.9,4.6,1.2,3.3,0.7
10,08,Sat,20,39,67.0,4.3,1.1,3.2,0.6
10,08,Sat,21,09,67.0,9.3,2.9,7.1,2.2
10,08,Sat,21,39,67.0,5.2,1.4,3.4,0.8
