,date,month,day,hour,min,disk,cpu_1,cpu_2,cpu_3,cpu_4,year,timestamp,time_diff,average
68,9,8,Fri,17,20,63.5,32.8,12.2,26.6,7.7,2019,2019-09-08 17:20:00,0 days 00:30:00,19.825
58,9,8,Fri,0,16,68.3,35.5,19.0,32.3,15.8,2019,2019-09-08 12:16:00,0 days 00:30:00,25.65
58,9,8,Fri,0,16,68.3,35.5,19.0,32.3,15.8,2019,2019-09-08 11:46:00,0 days 00:30:00,25.65
58,9,8,Fri,0,16,68.3,35.5,19.0,32.3,15.8,2019,2019-09-08 11:16:00,0 days 00:30:00,25.65
58,9,8,Fri,0,16,68.3,35.5,19.0,32.3,15.8,2019,2019-09-08 10:46:00,0 days 00:30:00,25.65
58,9,8,Fri,0,16,68.3,35.5,19.0,32.3,15.8,2019,2019-09-08 09:46:00,0 days 00:30:00,25.65
58,9,8,Fri,0,16,68.3,35.5,19.0,32.3,15.8,2019,2019-09-08 09:16:00,0 days 00:30:00,25.65
58,9,8,Fri,0,16,68.3,35.5,19.0,32.3,15.8,2019,2019-09-08 08:46:00,0 days 00:30:00,25.65
58,9,8,Fri,0,16,68.3,35.5,19.0,32.3,15.8,2019,2019-09-08 08:16:00,0 days 00:30:00,25.65
58,9,8,Fri,0,16,68.3,35.5,19.0,32.3,15.8,2019,2019-09-08 07:46:00,0 days 00:30:00,25.65
58,9,8,Fri,0,16,68.3,35.5,19.0,32.3,15.8,2019,2019-09-08 12:46:00,0 days 00:30:00,25.65
61,9,8,Fri,13,50,68.8,22.4,6.5,18.7,5.4,2019,2019-09-08 13:50:00,0 days 01:20:00,13.249999999999998
63,9,8,Fri,14,50,68.8,12.9,3.7,10.8,2.8,2019,2019-09-08 14:50:00,0 days 00:30:00,7.550000000000001
64,9,8,Fri,15,20,68.9,12.9,3.0,9.2,2.4,2019,2019-09-08 15:20:00,0 days 00:30:00,6.875
65,9,8,Fri,15,50,68.9,3.2,0.8,2.1,0.5,2019,2019-09-08 15:50:00,0 days 00:30:00,1.65
66,9,8,Fri,16,20,69.1,10.1,1.9,5.7,1.3,2019,2019-09-08 16:20:00,0 days 00:30:00,4.75
67,9,8,Fri,16,50,63.5,41.6,18.0,34.9,14.4,2019,2019-09-08 16:50:00,0 days 00:30:00,27.225
58,9,8,Fri,0,16,68.3,35.5,19.0,32.3,15.8,2019,2019-09-08 01:16:00,0 days 00:30:00,25.65
71,9,8,Fri,22,52,63.5,26.2,9.1,21.0,5.6,2019,2019-09-08 22:52:00,0 days 00:30:00,15.475
72,9,8,Fri,23,22,63.5,31.6,10.5,24.4,6.3,2019,2019-09-08 23:22:00,0 days 00:30:00,18.2
